TourType,CEP,Depot_ID,Tour_ID,Trip_ID,Unique_ID,O_zone,D_zone,N_parcels,Traveltime,TourDepTime,TripDepTime,TripEndTime,Type,TourDist,VehType,OrigType,DestType
0,PostNL,1,1.0_97,1.0_97_0,1.0_97_0_0,2668,71,28,0.3475,16.968261575719396,16.968,0.0,Delivery,18.897,Van,Depot,HH
0,PostNL,1,1.0_97,1.0_97_1,1.0_97_1_0,71,63,17,0.0525,16.968261575719396,18.249,0.0,Delivery,0.487,Van,Depot,HH
0,PostNL,1,1.0_97,1.0_97_2,1.0_97_2_0,63,66,24,0.0472222222222222,16.968261575719396,18.868,0.0,Delivery,0.668,Van,Depot,HH
0,PostNL,1,1.0_97,1.0_97_3,1.0_97_3_0,66,65,11,0.0330555555555555,16.968261575719396,19.715,0.0,Delivery,0.559,Van,Depot,HH
0,PostNL,1,1.0_97,1.0_97_4,1.0_97_4_0,65,70,7,0.0291666666666666,16.968261575719396,20.115,0.0,Delivery,0.956,Van,Depot,HH
0,PostNL,1,1.0_97,1.0_97_5,1.0_97_5_0,70,68,26,0.035,16.968261575719396,20.378,0.0,Delivery,1.049,Van,Depot,HH
0,PostNL,1,1.0_97,1.0_97_6,1.0_97_6_0,68,69,67,0.0366666666666666,16.968261575719396,21.279,0.0,Delivery,0.927,Van,Depot,HH
0,PostNL,1,1.0_97,1.0_97_7,1.0_97_7_0,69,2668,0,0.3475,16.968261575719396,23.549,0.0,Delivery,18.374,Van,Depot,HH
0,PostNL,1,1.0_98,1.0_98_0,1.0_98_0_0,2668,57,14,0.335,8.692322615669314,8.692,0.0,Delivery,17.827,Van,Depot,HH
0,PostNL,1,1.0_98,1.0_98_1,1.0_98_1_0,57,56,7,0.0375,8.692322615669314,9.494,0.0,Delivery,0.902,Van,Depot,HH
0,PostNL,1,1.0_98,1.0_98_2,1.0_98_2_0,56,54,28,0.0461111111111111,8.692322615669314,9.765,0.0,Delivery,0.692,Van,Depot,HH
0,PostNL,1,1.0_98,1.0_98_3,1.0_98_3_0,54,64,66,0.0336111111111111,8.692322615669314,10.744,0.0,Delivery,0.954,Van,Depot,HH
0,PostNL,1,1.0_98,1.0_98_4,1.0_98_4_0,64,55,31,0.0369444444444444,8.692322615669314,12.978,0.0,Delivery,0.415,Van,Depot,HH
0,PostNL,1,1.0_98,1.0_98_5,1.0_98_5_0,55,48,34,0.0286111111111111,8.692322615669314,14.048,0.0,Delivery,1.113,Van,Depot,HH
0,PostNL,1,1.0_98,1.0_98_6,1.0_98_6_0,48,2668,0,0.3552777777777778,8.692322615669314,15.21,0.0,Delivery,17.741,Van,Depot,HH
0,PostNL,1,1.0_99,1.0_99_0,1.0_99_0_0,2668,873,34,0.3866666666666666,18.894606663503847,18.895,0.0,Delivery,19.11,Van,Depot,HH
0,PostNL,1,1.0_99,1.0_99_1,1.0_99_1_0,873,872,56,0.0580555555555555,18.894606663503847,20.415,0.0,Delivery,0.729,Van,Depot,HH
0,PostNL,1,1.0_99,1.0_99_2,1.0_99_2_0,872,874,44,0.0616666666666666,18.894606663503847,22.339,0.0,Delivery,0.881,Van,Depot,HH
0,PostNL,1,1.0_99,1.0_99_3,1.0_99_3_0,874,875,46,0.0472222222222222,18.894606663503847,23.868,0.0,Delivery,0.5,Van,Depot,HH
0,PostNL,1,1.0_99,1.0_99_4,1.0_99_4_0,875,2668,0,0.35,18.894606663503847,25.448,0.0,Delivery,18.325,Van,Depot,HH
0,PostNL,1,1.0_100,1.0_100_0,1.0_100_0_0,2668,57,2,0.335,6.039054783232882,6.039,0.0,Delivery,17.827,Van,Depot,HH
0,PostNL,1,1.0_100,1.0_100_1,1.0_100_1_0,57,59,3,0.0330555555555555,6.039054783232882,6.441,0.0,Delivery,0.519,Van,Depot,HH
0,PostNL,1,1.0_100,1.0_100_2,1.0_100_2_0,59,60,1,0.0516666666666666,6.039054783232882,6.574,0.0,Delivery,0.446,Van,Depot,HH
0,PostNL,1,1.0_100,1.0_100_3,1.0_100_3_0,60,61,59,0.0330555555555555,6.039054783232882,6.659,0.0,Delivery,0.741,Van,Depot,HH
0,PostNL,1,1.0_100,1.0_100_4,1.0_100_4_0,61,63,36,0.0325,6.039054783232882,8.658,0.0,Delivery,0.575,Van,Depot,HH
0,PostNL,1,1.0_100,1.0_100_5,1.0_100_5_0,63,72,18,0.0527777777777777,6.039054783232882,9.891,0.0,Delivery,1.436,Van,Depot,HH
0,PostNL,1,1.0_100,1.0_100_6,1.0_100_6_0,72,73,61,0.0458333333333333,6.039054783232882,10.544,0.0,Delivery,0.349,Van,Depot,HH
0,PostNL,1,1.0_100,1.0_100_7,1.0_100_7_0,73,2668,0,0.3780555555555555,6.039054783232882,12.623,0.0,Delivery,18.029,Van,Depot,HH
0,PostNL,1,1.0_101,1.0_101_0,1.0_101_0_0,2668,35,18,0.3216666666666666,7.878142503429413,7.878,0.0,Delivery,17.604,Van,Depot,HH
0,PostNL,1,1.0_101,1.0_101_1,1.0_101_1_0,35,40,16,0.0372222222222222,7.878142503429413,8.8,0.0,Delivery,1.895,Van,Depot,HH
0,PostNL,1,1.0_101,1.0_101_2,1.0_101_2_0,40,41,7,0.0397222222222222,7.878142503429413,9.37,0.0,Delivery,0.663,Van,Depot,HH
0,PostNL,1,1.0_101,1.0_101_3,1.0_101_3_0,41,42,19,0.0313888888888888,7.878142503429413,9.643,0.0,Delivery,0.469,Van,Depot,HH
0,PostNL,1,1.0_101,1.0_101_4,1.0_101_4_0,42,47,12,0.0269444444444444,7.878142503429413,10.308,0.0,Delivery,0.874,Van,Depot,HH
0,PostNL,1,1.0_101,1.0_101_5,1.0_101_5_0,47,58,13,0.0480555555555555,7.878142503429413,10.735,0.0,Delivery,0.568,Van,Depot,HH
0,PostNL,1,1.0_101,1.0_101_6,1.0_101_6_0,58,34,13,0.0419444444444444,7.878142503429413,11.216,0.0,Delivery,1.224,Van,Depot,HH
0,PostNL,1,1.0_101,1.0_101_7,1.0_101_7_0,34,75,49,0.0766666666666666,7.878142503429413,11.692,0.0,Delivery,2.038,Van,Depot,HH
0,PostNL,1,1.0_101,1.0_101_8,1.0_101_8_0,75,27,24,0.0941666666666666,7.878142503429413,13.402,0.0,Delivery,2.849,Van,Depot,HH
0,PostNL,1,1.0_101,1.0_101_9,1.0_101_9_0,27,28,9,0.0322222222222222,7.878142503429413,14.296,0.0,Delivery,0.482,Van,Depot,HH
0,PostNL,1,1.0_101,1.0_101_10,1.0_101_10_0,28,2668,0,0.3352777777777778,7.878142503429413,14.628,0.0,Delivery,16.854,Van,Depot,HH
0,PostNL,1,1.0_102,1.0_102_0,1.0_102_0_0,2668,877,12,0.3561111111111111,6.421107625005052,6.421,0.0,Delivery,18.482,Van,Depot,HH
0,PostNL,1,1.0_102,1.0_102_1,1.0_102_1_0,877,875,4,0.0436111111111111,6.421107625005052,7.177,0.0,Delivery,0.952,Van,Depot,HH
0,PostNL,1,1.0_102,1.0_102_2,1.0_102_2_0,875,879,23,0.0430555555555555,6.421107625005052,7.354,0.0,Delivery,0.645,Van,Depot,HH
0,PostNL,1,1.0_102,1.0_102_3,1.0_102_3_0,879,878,80,0.025,6.421107625005052,8.164,0.0,Delivery,0.609,Van,Depot,HH
0,PostNL,1,1.0_102,1.0_102_4,1.0_102_4_0,878,880,5,0.0436111111111111,6.421107625005052,10.856,0.0,Delivery,0.635,Van,Depot,HH
0,PostNL,1,1.0_102,1.0_102_5,1.0_102_5_0,880,876,49,0.0775,6.421107625005052,11.066,0.0,Delivery,0.685,Van,Depot,HH
0,PostNL,1,1.0_102,1.0_102_6,1.0_102_6_0,876,72,7,0.0469444444444444,6.421107625005052,12.777,0.0,Delivery,0.732,Van,Depot,HH
0,PostNL,1,1.0_102,1.0_102_7,1.0_102_7_0,72,2668,0,0.3669444444444444,6.421107625005052,13.057,0.0,Delivery,18.742,Van,Depot,HH
0,PostNL,1,1.0_103,1.0_103_0,1.0_103_0_0,2668,929,18,0.3469444444444444,20.533165284973016,20.533,0.0,Delivery,17.858,Van,Depot,HH
0,PostNL,1,1.0_103,1.0_103_1,1.0_103_1_0,929,928,12,0.0319444444444444,20.533165284973016,21.48,0.0,Delivery,0.549,Van,Depot,HH
0,PostNL,1,1.0_103,1.0_103_2,1.0_103_2_0,928,927,30,0.0369444444444444,20.533165284973016,21.912,0.0,Delivery,0.458,Van,Depot,HH
0,PostNL,1,1.0_103,1.0_103_3,1.0_103_3_0,927,72,27,0.0561111111111111,20.533165284973016,22.949,0.0,Delivery,1.393,Van,Depot,HH
0,PostNL,1,1.0_103,1.0_103_4,1.0_103_4_0,72,74,48,0.0533333333333333,20.533165284973016,23.905,0.0,Delivery,0.738,Van,Depot,HH
0,PostNL,1,1.0_103,1.0_103_5,1.0_103_5_0,74,75,4,0.0666666666666666,20.533165284973016,25.558,0.0,Delivery,0.401,Van,Depot,HH
0,PostNL,1,1.0_103,1.0_103_6,1.0_103_6_0,75,76,41,0.0663888888888888,20.533165284973016,25.758,0.0,Delivery,0.839,Van,Depot,HH
0,PostNL,1,1.0_103,1.0_103_7,1.0_103_7_0,76,2668,0,0.3016666666666667,20.533165284973016,27.191,0.0,Delivery,16.946,Van,Depot,HH
0,PostNL,1,1.0_104,1.0_104_0,1.0_104_0_0,2668,1500,1,0.2872222222222222,13.315515631006065,13.316,0.0,Delivery,15.02,Van,Depot,HH
0,PostNL,1,1.0_104,1.0_104_1,1.0_104_1_0,1500,1499,26,0.0536111111111111,13.315515631006065,13.636,0.0,Delivery,1.1,Van,Depot,HH
0,PostNL,1,1.0_104,1.0_104_2,1.0_104_2_0,1499,1514,28,0.0866666666666666,13.315515631006065,14.556,0.0,Delivery,0.906,Van,Depot,HH
0,PostNL,1,1.0_104,1.0_104_3,1.0_104_3_0,1514,1516,14,0.1052777777777777,13.315515631006065,15.576,0.0,Delivery,0.453,Van,Depot,HH
0,PostNL,1,1.0_104,1.0_104_4,1.0_104_4_0,1516,1519,4,0.0947222222222222,13.315515631006065,16.148,0.0,Delivery,1.016,Van,Depot,HH
0,PostNL,1,1.0_104,1.0_104_5,1.0_104_5_0,1519,1515,25,0.0725,13.315515631006065,16.376,0.0,Delivery,1.892,Van,Depot,HH
0,PostNL,1,1.0_104,1.0_104_6,1.0_104_6_0,1515,1513,7,0.0319444444444444,13.315515631006065,17.282,0.0,Delivery,1.361,Van,Depot,HH
0,PostNL,1,1.0_104,1.0_104_7,1.0_104_7_0,1513,1512,45,0.0275,13.315515631006065,17.547,0.0,Delivery,0.279,Van,Depot,HH
0,PostNL,1,1.0_104,1.0_104_8,1.0_104_8_0,1512,1511,16,0.0227777777777777,13.315515631006065,19.075,0.0,Delivery,0.393,Van,Depot,HH
0,PostNL,1,1.0_104,1.0_104_9,1.0_104_9_0,1511,1520,14,0.0855555555555555,13.315515631006065,19.631,0.0,Delivery,1.294,Van,Depot,HH
0,PostNL,1,1.0_104,1.0_104_10,1.0_104_10_0,1520,2668,0,0.3133333333333333,13.315515631006065,20.183,0.0,Delivery,15.749,Van,Depot,HH
0,PostNL,1,1.0_105,1.0_105_0,1.0_105_0_0,2668,1509,72,0.2986111111111111,13.834625671897372,13.835,0.0,Delivery,16.086,Van,Depot,HH
0,PostNL,1,1.0_105,1.0_105_1,1.0_105_1_0,1509,1510,14,0.0538888888888888,13.834625671897372,16.533,0.0,Delivery,1.401,Van,Depot,HH
0,PostNL,1,1.0_105,1.0_105_2,1.0_105_2_0,1510,1551,1,0.0575,13.834625671897372,17.054,0.0,Delivery,2.051,Van,Depot,HH
0,PostNL,1,1.0_105,1.0_105_3,1.0_105_3_0,1551,1522,16,0.1163888888888888,13.834625671897372,17.145,0.0,Delivery,0.724,Van,Depot,HH
0,PostNL,1,1.0_105,1.0_105_4,1.0_105_4_0,1522,1368,2,0.0652777777777777,13.834625671897372,17.794,0.0,Delivery,0.87,Van,Depot,HH
