ZONE,LS0,LS1,LS2,LS3,LS4,LS5,LS6,LS7,TOT_WEIGHT
198,9.0,1.5,0.0,61.5,8.0,0.0,0.0,1.5,81.5
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,4.5,1.5,0.0,0.0,0.0,0.0,9.0,15.0
201,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,1.5,3.0,9.5,0.0,4.5,0.0,0.0,0.0,18.5
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5
207,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0
208,1.5,3.0,4.5,0.0,0.0,1.5,0.0,35.0,45.5
209,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5
210,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5
213,0.0,9.0,10.5,8.0,1.5,12.0,0.0,1.5,42.5
214,0.0,21.0,0.002652174677341256,0.0,0.0,0.0,0.0,9.5,30.50265217467734
215,25.5,22.5,57.57561233688304,42.75447043365281,1.5,9.5,0.0,23.0,182.33008277053585
216,1.5,0.0,1.5,9.0,0.0,0.0,0.0,0.0,12.0
217,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1.5,10.5
218,0.0,3.0,1.5,9.5,1.5,1.5,0.0,6.0,23.0
219,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,35.540840168407314,72.42213168262941,78.22382865479298,38.5,7.5,10.5,0.0,58.5,301.1868005058297
224,139.70767366262234,341.50813884822225,341.23275294851516,231.29763631382224,74.0,143.9498178451418,0.0,461.9485148720981,1733.6445344904218
225,3.0,6.0,21.0,4.5,0.0,6.0,0.0,12.5,53.0
226,0.0,1.5,10.5,0.0,0.0,0.0,0.0,0.0,12.0
227,13.5,15.0,8.481553001347283,43.5,0.0,7.5,0.0,8.0,95.98155300134728
228,4.5,1.5,1.5,8.0,0.0,0.0,0.0,0.0,15.5
229,14.0,22.5,3.0,9.5,0.0,1.5,0.0,21.5,72.0
230,7.581482119226765,48.59823998076308,63.5,9.912707358497666,4.5,3.0,0.0,4.60607851847365,141.69850797696117
231,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
232,1.5,4.847832855757799,1.5,0.0,0.0,0.0,0.0,1.5,9.3478328557578
233,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,4.5
237,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0
238,0.0,0.0,3.0,0.0,1.5,0.0,0.0,0.0,4.5
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,3.0
241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
243,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,9.0
244,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
245,0.0,3.0,1.5,0.0,8.0,0.0,0.0,0.0,12.5
246,15.0,0.0,3.48843063549732,0.0,0.0,0.0,0.0,0.0,18.48843063549732
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,3.0
251,4.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,6.0
252,17.42272937905466,15.5,1.5,0.0,0.0,13.5,0.0,4.5,52.42272937905466
253,116.59960424045703,235.1213413281909,192.07442927852912,103.5,41.03655680218507,64.0,0.0,243.02204103945502,995.3539726888172
254,12.0,33.0,10.5,21.03786537852758,7.5,14.0,0.0,8.944945933394983,106.98281131192257
255,4.5,3.0,0.0,15.5,0.0,0.0,0.0,0.0,23.0
256,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,3.0
257,6.0,12.0,16.5,37.5,0.0,17.0,0.0,0.0,89.0
258,1.5,3.0,17.0,0.0,1.5,1.5,0.0,4.5,29.0
259,3.7023354833918116,4.5,3.0,14.0,1.5,1.5,0.0,0.0,28.202335483391813
260,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,1.5,12.5,0.0,0.0,0.0,8.0,0.0,0.0,22.0
264,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,3.0
265,0.0,4.5,6.0,0.0,1.5,0.0,0.0,1.5,13.5
266,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
267,0.0,4.5,4.5,6.0,0.0,0.0,0.0,0.0,15.0
268,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,3.0
269,1.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,6.0
270,0.0,0.0,0.0,1.5,0.0,0.0,0.0,4.5,6.0
271,12.5,1.5,6.0,0.0,0.0,1.5,0.0,0.0,21.5
272,0.0,0.0,0.0,4.5,0.0,9.5,0.0,0.0,14.0
273,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
274,0.0,0.0,3.0,1.5,0.0,0.0,0.0,4.611913590675369,9.11191359067537
275,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5
276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,0.0,9.5,0.0,0.0,0.0,0.0,0.0,1.5,11.0
278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
279,1.5,1.5,1.5,0.0,0.22286416457393443,1.5,0.0,6.0,12.222864164573934
280,15.0,19.5,0.0,0.0,4.5,0.0,0.0,8.0,47.0
281,0.0,0.0,4.5,0.0,0.0,4.5,0.0,0.0,9.0
282,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,3.0
283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,0.0,0.0,0.0,4.5,1.5,0.0,0.0,0.0,6.0
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,1.5,0.0,3.0,12.5,0.0,0.0,0.0,0.0,17.0
287,0.0,1.5,4.5,0.0,0.0,0.0,0.0,0.0,6.0
288,1.5,12.5,6.0,0.0,0.0,0.0,0.0,4.5,24.5
289,0.0,1.5,1.5,0.0,0.0,0.0,0.0,4.5,7.5
290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,1.5,0.0,3.0,0.0,0.0,3.0,0.0,0.0,7.5
293,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,4.5
294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,0.0,4.5,0.0,1.5,0.0,1.5,0.0,0.0,7.5
296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5
299,1.5,0.4631058379716535,6.0,4.5,0.0,1.5,0.0,0.0,13.963105837971654
300,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
304,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,9.5
305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,0.0,17.0,4.5,11.0,4.199753651627977,3.0,0.0,10.5,50.19975365162797
309,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5
310,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
311,0.0,3.0,0.0,1.9507936828840826,1.5,0.0,0.0,0.0,6.450793682884083
312,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,3.0
313,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,3.0
314,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3.0
315,0.0,0.0,0.11394527633139549,0.0,0.0,0.0,0.0,0.0,0.11394527633139549
316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,0.0,1.5,1.5,0.0,0.0,4.5,0.0,0.0,7.5
321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,9.0
323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,6.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,9.0
325,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5
326,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,1.5,0.0,6.0,1.5,0.0,0.0,0.0,50.0,59.0
330,0.0,4.5,0.0,4.5,0.0,0.0,0.0,0.0,9.0
331,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,3.0
332,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,3.0
