zone,naam,1: woningen,2: inwoners,3: inwon0034,4: bbv,5: llp12eo,6: detail,7: industrie,8: rest,9: arbeidspl_totaal,10: gebiedstype,11: intrazonaal,12: vrachtformule,13: autosperhh,14: v_os_auto,15: a_os_auto,16: v_as_auto,17: a_as_auto,18: v_rd_auto,19: a_rd_auto,20: va_mz_os,21: va_mz_as,22: va_mz_rd,23: va_zw_os,24: va_zw_as,25: va_zw_rd,26: inwon0011,27: llp0011
252,s-Gravenhage,905.7008086,1033.261456,532.5593241,468.2199922,3842.057143,80.91085196,68.71880578,571.9178029,721.5474606,1,0,1,0.384849031,94.28571429,94.28571429,94.28571429,94.28571429,440,440,0,0,0,0,0,0,118.7352086,0
253,s-Gravenhage,595.1293801,921.8328841,482.9709215,416.1307554,0,4.926256261,1974.801143,307.3983907,2287.12579,1,0,1,0.384120624,0,0,0,0,0,0,0,0,0,0,0,0,102.3970151,0
254,s-Gravenhage,625.8571429,736.4285714,375.3858996,334.6453647,4819.318857,7.139077574,12.2384187,2844.412479,2863.789975,1,0,1,0.384955409,0,0,0,0,0,0,0,0,0,0,0,0,86.45837347,0
255,s-Gravenhage,266.8571429,433.3920516,197.1077768,201.6253788,0,340.3636419,0,510.0218265,850.3854684,1,0,1,0.405890531,0,0,0,0,0,0,0,0,0,0,0,0,62.33588046,0
256,s-Gravenhage,266.8571429,433.3920516,197.1077768,201.6253788,0,9.314740043,23.28685011,41.91633019,74.51792035,1,0,1,0.405890531,0,0,0,0,0,0,0,0,0,0,0,0,62.33588046,0
257,s-Gravenhage,198.2722372,376.090027,192.6749754,170.3577164,0,144.0345662,91.65836034,571.7735811,807.4665077,1,0,1,0.383282928,0,0,0,0,0,0,0,0,0,0,0,0,43.61787511,0
258,s-Gravenhage,46.41509434,83.54716981,37.99745945,38.86834034,0,9.863194031,87.33714286,298.8547791,396.055116,1,0,1,0.405890531,0,0,0,0,0,0,0,0,0,0,0,0,12.01680181,0
259,s-Gravenhage,853.1293801,2193.832884,1104.975919,1006.283812,0,56.8021837,93.94207304,102.6808705,253.4251273,1,0,1,0.384628116,0,0,0,0,0,0,0,0,0,0,0,0,341.0855828,0
260,s-Gravenhage,199.1293801,430.8328841,216.0806277,197.7444061,0,14.04928665,20.04571429,437.5349272,471.6299281,1,0,1,0.383216811,0,0,0,0,0,0,0,0,0,0,0,0,66.75599903,0
261,s-Gravenhage,332.1293801,700.8328841,352.2501521,321.3793203,0,4.048634431,4.048634431,24.29180659,32.38907545,1,0,1,0.385678447,0,0,0,0,0,0,0,0,0,0,0,0,108.6615912,351.3702857
262,s-Gravenhage,330.1293801,647.8328841,325.6189915,297.4324668,0,47.31858127,5.011428571,13.08811822,65.41812807,1,0,1,0.384974225,0,0,0,0,0,0,0,0,0,0,0,0,100.4483771,0
263,s-Gravenhage,471.9626301,917.9252602,450.6465076,447.5512743,0,21.47299911,38.85590315,51.12618836,111.4550906,1,0,1,0.619156413,0,0,0,0,0,0,0,0,0,0,0,0,132.9915485,0
264,s-Gravenhage,478.9626301,935.9252602,459.6101901,456.1936019,0,16.23789586,45.6690821,22.3271068,84.23408476,1,0,1,0.620500349,0,0,0,0,0,0,0,0,0,0,0,0,135.3281118,0
265,s-Gravenhage,350.9626301,725.9252602,356.6053219,354.0807321,0,4.083646793,21.43914566,9.188205285,34.71099774,1,0,1,0.619929227,0,0,0,0,0,0,0,0,0,0,0,0,105.2110639,0
